1|1|Animal Friendship |"By means of this spell the druid is able to show any animal which is of at least animal intelligence (but not above semi-intelligent rating) that the druid is disposed to be its friend. If the animal does not make its saving throw versus magic immediately when the spell is begun, it will stand quietly while the druid finishes the spell. Thereafter, it will follow the druid about, and he or she can teach it 3 specific ""tricks"" or tasks for each point of intelligence it possesses. (Typical tasks are those taught a dog or similar pet, i.e. they cannot be complex.) Training for each such ""trick"" must be done over a period of 1 week, and all must be done within 3 months of acquiring the creature. During the training period the animal will not harm the druid, but if the creature is left alone for more than 3 days it will revert to its natural state and act accordingly. The druid may use this spell to attract up to 2 hit dice of animal(s) per level of experience he or she possesses. This also means that the druid can never have more hit dice of animals so attracted and trained than are equal to or less than twice his or her levels of experience. Only neutral animals can be attracted, befriended, and trained. The material components of this spell ore mistletoe and a piece of food attractive to the animal subject. "|60|P|VSM|Neg.
1|2|Detect Magic |"When the Detect Magic spell is cast, the druid detects magical radiations in a path 1"" wide, and up to 3"", long, in the direction he or she is facing. The caster can turn 60° per round. Note that stone walls of 1' or more thickness, solid metal of but 1/12' thickness, or 3' or more of solid wood will black the spell. "|0.3|12|VSM|None
1|3|Detect Snares & Pits|"Upon casting this spell, the druid is able to detect snares & pits along the 1"" wide by 4"" long area of effect path and thus avoid such deadfalls. Note that in the underground only simple pits, not all forms of traps, would be detected by means of this spell. Outdoors, the spell detects all forms of traps - deadfalls, missile trips, snares, etc. The spell lasts 4 melee rounds for each level of experience of the druid casting it, i.e. 4 rounds at the 1st level, 8 at the 2nd, 12 (1 turn plus 2 rounds) at the 3rd, etc. "|0.3|4n|VSM|None
1|4|Entangle|By means of this spell the druid is able to cause plants in the area of effect to entangle creatures within the area. The grasses, weeds, bushes, and even trees wrap, twist, and entwine about creatures, thus holding them fast for the duration of the spell. If any creature in the area of effect makes its saving throw, the effect of the spell is to slow its movement by 50% for the spell duration. |0.3|10|VSM|Half
1|5|Faerie Fire|"When the druid casts this spell, he or she outlines an object or creature with a pale glowing light. The completeness of the lining is dependent upon the number of linear feet the druid is able to affect, about 12' per level (i.e. one 6' man or two 3' kobolds). If there is sufficient power, several objects or creatures can be covered by the faerie fire, but one must be fully outlined before the next is begun, and all must be within the area of effect. Outlined objects or creatures (including those otherwise invisible) are visible at 8"" in the dark, 4"" if the viewer is near a bright light source. Outlined creatures are easier to strike, thus opponents gain +2 on ""to hit"" dice. The faerie fire can be blue, green, or violet according to the word of the druid at the time he or she casts the spell. The faerie fire does not itself cause any harm to the object or creature lined.
 "|0.3|4n|V|None
1|6|Invisibility to Animals|When an Invisibility To Animals spell is cast by a druid, the recipient of the magic becomes totally undetectable with respect to normal animals with intelligence under 6. Normal animals includes giant-sized varieties, but it excludes any with magical abilities or powers. The magicked individual is able to walk amongst animals or pass through them as if he or she did not exist. For example, this individual could stand before the hungriest of lions or a tyrannosaurus rex and not be molested or even noticed. However, a nightmare, hell hound, or winter wolf would certainly be aware of the individual. The material component of this spell is holly rubbed over the individual. |0.4|10+n|SM|None
1|7|Locate Animals|" The druid with a Locate Animals spell is able to determine the direction and distance of any of the desired animals within the area of effect. The sought after animal can be of any sort, but the druid must concentrate on the sort desired. The cleric faces in a direction, thinks of the animal desired, and he or she then knows if any such animal is within spell range. During a round of spell effect duration, the druid must face in only one direction, i.e., only a 2"" wide path can be known. The spell lasts 1 round per level of experience of the druid, while the length of the path is 2"" per level of experience. "|1|n|VSM|None
1|8|Pass Without Trace|"When this spell is cast, the recipient can move through any type of terrain - mud, snow, dust, etc. - and leave neither footprint nor scent. Thus, tracking a person or other creature covered by this dweomer is impossible. The material components of this spell are a leaf of mistletoe (which must be burned thereafter and the ashes powdered and scattered) and a sprig of pine or evergreen. Note: The area which is passed over will radiate a dweomer for 6-36 turns after the affected creature passes.
 "|1|10n|VSM|None
1|9|Predict Weather|"When a Predict Weather spell is cast by a druid, he or she gains 100% accurate knowledge of the weather (sky, temperature, precipitation) in a nine square mile area centring on the druid. For each level of experience of the druid casting the spell, two hours advance weather can be forecast. Thus, at 1st level the druid knows what the weather will be for two hours; at second level he or she knows the weather for 4 hours in advance, etc.
 "|1|120n|VSM|None
1|10|Purify Water|"This spell makes dirty, contaminated water clean and pure, suitable for consumption. Up to one cubic foot per level of the druid casting the spell can be thus purified. The reverse of the spell, Contaminate Water, works in exactly the same manner, and even holy/unholy water can be spoiled by its effects.
 "|1|P|VS|None
1|11|Shillelagh| This spell enables the druid to change his own oaken cudgel into a magical weapon which is +1 to hit and inflicts 2-8 hit points of damage on opponents up to man-sized, 2-5 hit points of damage on larger opponents. The druid must wield the shillelagh, of course. The material components of this spell are an oaken club, any mistletoe, and a shamrock leaf. |0.1|n|VSM|None
1|12|Speak with Animals| By employing this spell, the druid is empowered to comprehend and communicate with any warm or cold-blooded animal which is not mindless (such as an amoeba). The druid is able to ask questions, receive answers, and generally be on amicable terms with the animal. This ability lasts for 2 melee rounds for each level of experience of the cleric employing the spell. Even if the bent of the animal is not that of the druid, it and any others of the same kind with it will not attack while the spell lasts. If the animal is  of the same general bent as the druid, there is a possibility that the animal, and its like associates, will do some favour or service for the druid. This possibility will be determined by the referee by consulting a special reaction chart, using the charisma of the druidand his actions as the major determinants. Note that this spell differs from speak with monsters (q.v.), for it allows conversation only with basically normal, non-fantastic creatures such as apes, bears, cats, dogs, elephants, and so on. |0.3|2n|VS|None
2|1|Barkskin|When the druid casts the Barkskin spell upon a creature, its armour class improves 1 place because the creature's skin becomes as tough as bark. In addition, saving throws versus all attack forms except magic increase by +1. This spell can be placed on the druid casting it or on any other creature he or she touches. In addition to mistletoe. the caster must have a handful of bark from an oak as the material component of the spell.|0.4|4+n|VSM|None
2|2|Charm Person or Mammal|"This spell will affect any single person or mammal it is cast upon. The creature then will regard the druid who cast the spell as a trusted friend and ally to be heeded and protected. The spell does not enable the druid to control the charmed creature as if it were an automaton, but any word or action of the druid will be viewed in its most favourable way. Thus, a charmed creature would not obey a suicide command, but might believe the druid if assured that the only chance to save the druid's life is if the creature holds back an onrushing red dragon for ""just a round or two"". Note also that the spell does not empower the druid with linguistic capabilities beyond those he or she normally possesses. The duration of the spell is a function of the charmed creature's intelligence, and it is tied to the saving throw. The spell may be broken if a saving throw is made, and this saving throw is checked on a periodic basis according to the creature's intelligence: "|0.4|Special|VS|Neg.
2|3|Create Water|" The druid can create pure, drinkable water by means of a Create Water spell. He or she creates 1 cubic foot of water for each level of experience attained. The water can be created at a maximum distance of 1"" from the druid. "|10|P|VS|None
